StateAbbr,StateDesc,CountyName,CountyFIPS,TotalPopulation,TotalPop18plus,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DEPRESSION_CrudePrev,DIABETES_CrudePrev,GHLTH_CrudePrev,HIGHCHOL_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev,HEARING_CrudePrev,VISION_CrudePrev,COGNITION_CrudePrev,MOBILITY_CrudePrev	,SELFCARE_CrudePrev,INDEPLIVE_CrudePrev,DISABILITY_CrudePrev,LONELINESS_CrudePrev,FOODSTAMP_CrudePrev,FOODINSECU_CrudePrev,HOUSINSECU_CrudePrev,SHUTUTILITY_CrudePrev,LACKTRPT_CrudePrev,EMOTIONSPT_CrudePrev,ACCESS2_CrudePrev_Cases,ARTHRITIS_CrudePrev_Cases,BINGE_CrudePrev_Cases,BPHIGH_CrudePrev_Cases,BPMED_CrudePrev_Cases,CANCER_CrudePrev_Cases,CASTHMA_CrudePrev_Cases,CHD_CrudePrev_Cases,CHECKUP_CrudePrev_Cases,CHOLSCREEN_CrudePrev_Cases,COLON_SCREEN_CrudePrev_Cases,COPD_CrudePrev_Cases,CSMOKING_CrudePrev_Cases,DENTAL_CrudePrev_Cases,DEPRESSION_CrudePrev_Cases,DIABETES_CrudePrev_Cases,GHLTH_CrudePrev_Cases,HIGHCHOL_CrudePrev_Cases,LPA_CrudePrev_Cases,MAMMOUSE_CrudePrev_Cases,MHLTH_CrudePrev_Cases,OBESITY_CrudePrev_Cases,PHLTH_CrudePrev_Cases,SLEEP_CrudePrev_Cases,STROKE_CrudePrev_Cases,TEETHLOST_CrudePrev_Cases,HEARING_CrudePrev_Cases,VISION_CrudePrev_Cases,COGNITION_CrudePrev_Cases,SELFCARE_CrudePrev_Cases,INDEPLIVE_CrudePrev_Cases,DISABILITY_CrudePrev_Cases,LONELINESS_CrudePrev_Cases,FOODSTAMP_CrudePrev_Cases,FOODINSECU_CrudePrev_Cases,HOUSINSECU_CrudePrev_Cases,SHUTUTILITY_CrudePrev_Cases,LACKTRPT_CrudePrev_Cases,EMOTIONSPT_CrudePrev_Cases,physicians_total,psychiatrists,cardiologists,general_internal_med,beds_total,beds_acute,beds_icu,MedianIncome,physicians_per10k,general_internal_med_per10k,cardiologists_per10k,psych_per10k,beds_per10k,beds_acute_per10k,beds_icu_per10k,pop_quintile,diabetes_supply_group,chd_supply_group,depression_supply_group
AK,Alaska,Aleutians East,02013,3420,3120.0,15.8974,17.5962,18.0128,32.5962,64.391,4.0064,9.0064,5.2885,62.7885,76.1859,47.3077,5.2885,19.1987,45.0,15.1923,11.891,22.5962,33.0128,26.891,63.8141,15.0962,34.7115,13.4936,43.4936,3.0128,18.3974,6.891,6.0897,14.6154,11.9,3.9103,7.5962,29.6154,34.4872,14.0064,22.2115,17.5,11.1859,11.891,32.7885,496.0,549.0,562.0,1017.0,2009.0,125.0,281.0,165.0,1959.0,2377.0,1476.0,165.0,599.0,1404.0,474.0,371.0,705.0,1030.0,839.0,1991.0,471.0,1083.0,421.0,1357.0,94.0,574.0,215.0,190.0,456.0,122.0,237.0,924.0,1076.0,437.0,693.0,546.0,349.0,371.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Very Small,No Providers,No Providers,No Providers
AK,Alaska,Aleutians West,02016,5232,4579.0,12.4918,15.9205,19.6986,29.5261,62.3062,3.8218,8.5827,4.4114,62.6119,76.1083,49.0718,4.5425,17.0998,52.1511,15.2217,10.2424,18.6067,32.1686,24.5468,65.1016,14.6757,33.1295,11.9022,39.8559,2.5115,14.5665,5.9838,4.8045,13.3654,22.6,3.1448,6.6827,25.2238,37.803,10.5263,17.7986,14.3481,8.8884,9.8493,32.9548,572.0,729.0,902.0,1352.0,2853.0,175.0,393.0,202.0,2867.0,3485.0,2247.0,208.0,783.0,2388.0,697.0,469.0,852.0,1473.0,1124.0,2981.0,672.0,1517.0,545.0,1825.0,115.0,667.0,274.0,220.0,612.0,144.0,306.0,1155.0,1731.0,482.0,815.0,657.0,407.0,451.0,1509.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,107344,2.1838829438742082,0.0,0.0,0.0,0.0,0.0,0.0,Very Small,No Providers,No Providers,No Providers
AK,Alaska,Anchorage,02020,291242,222910.0,9.568,22.1462,17.9777,31.379,66.4896,6.4721,10.9066,5.0698,70.5491,80.1637,60.8775,5.4192,14.3569,61.9865,21.6818,8.9498,17.8839,31.3979,19.9565,69.4765,16.4205,35.2209,12.3319,35.6171,2.8321,11.323,6.8355,4.4211,13.6073,685.6,3.1838,7.2917,27.7071,34.1061,9.9735,13.6777,12.4831,8.3092,8.8749,25.1218,21328.0,49366.0,40074.0,69947.0,148212.0,14427.0,24312.0,11301.0,157261.0,178693.0,135702.0,12080.0,32003.0,138174.0,48331.0,19950.0,39865.0,69989.0,44485.0,154870.0,36603.0,78511.0,27489.0,79394.0,6313.0,25240.0,15237.0,9855.0,30332.0,7097.0,16254.0,61762.0,76026.0,22232.0,30489.0,27826.0,18522.0,19783.0,55999.0,1017.0,47.0,15.0,73.0,1122.0,786.0,46.0,98152,45.62379435646673,3.2748642950069535,0.6729173208918396,2.1084742721277645,50.33421560270961,35.260867614732405,2.063613117401642,Very Large,High,Medium,Very High
AK,Alaska,Bethel,02050,18666,12130.0,15.9357,22.9101,16.6694,36.5705,62.6958,4.9711,13.6521,7.5103,63.1492,69.1344,47.4279,10.0,30.7749,38.3017,21.2943,13.4378,31.8302,31.3438,33.0668,58.7881,21.9538,38.6892,19.6043,41.5169,4.7733,31.4262,11.2201,10.981,22.9596,56.2,6.4056,14.7568,42.399,37.8978,30.2803,37.6752,26.8425,19.695,22.9514,36.554,1933.0,2779.0,2022.0,4436.0,7605.0,603.0,1656.0,911.0,7660.0,8386.0,5753.0,1213.0,3733.0,4646.0,2583.0,1630.0,3861.0,3802.0,4011.0,7131.0,2663.0,4693.0,2378.0,5036.0,579.0,3812.0,1361.0,1332.0,2785.0,777.0,1790.0,5143.0,4597.0,3673.0,4570.0,3256.0,2389.0,2784.0,4434.0,15.0,1.0,0.0,0.0,82.0,82.0,0.0,70616,12.36603462489695,0.0,0.0,0.8244023083264633,67.60098928277,67.60098928277,0.0,Small,No Providers,No Providers,Medium
AK,Alaska,Bristol Bay,02060,844,658.0,8.8146,25.9878,18.3891,35.1064,70.0608,8.0547,11.3982,6.6869,68.0851,82.2188,59.4225,6.8389,17.3252,59.4225,19.7568,10.7903,18.997,34.6505,21.7325,65.0456,15.8055,35.8663,14.2857,37.234,3.6474,12.614,8.9666,5.1672,13.9818,13.4,3.6474,7.9027,30.6991,32.6748,9.2705,14.4377,12.31,8.3587,9.2705,25.228,58.0,171.0,121.0,231.0,461.0,53.0,75.0,44.0,448.0,541.0,391.0,45.0,114.0,391.0,130.0,71.0,125.0,228.0,143.0,428.0,104.0,236.0,94.0,245.0,24.0,83.0,59.0,34.0,92.0,24.0,52.0,202.0,215.0,61.0,95.0,81.0,55.0,61.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Very Small,No Providers,No Providers,No Providers
AK,Alaska,Chugach,02063,7102,5456.0,8.7793,22.6356,18.7317,31.1034,68.1635,7.0931,10.2456,5.4985,66.6606,80.5718,60.4472,5.9018,15.2309,62.2984,19.1716,8.706,16.9721,33.3211,20.4179,67.6503,15.011,31.1767,12.7016,34.4025,2.9509,11.8402,7.1664,4.1422,13.1232,21.9,3.1525,6.9831,26.8878,31.5616,7.9912,12.0418,10.4472,6.9831,7.643,23.9186,479.0,1235.0,1022.0,1697.0,3719.0,387.0,559.0,300.0,3637.0,4396.0,3298.0,322.0,831.0,3399.0,1046.0,475.0,926.0,1818.0,1114.0,3691.0,819.0,1701.0,693.0,1877.0,161.0,646.0,391.0,226.0,716.0,172.0,381.0,1467.0,1722.0,436.0,657.0,570.0,381.0,417.0,1305.0,11.0,0.0,0.0,0.0,44.0,44.0,0.0,88565,20.161290322580644,0.0,0.0,0.0,80.64516129032258,80.64516129032258,0.0,Very Small,No Providers,No Providers,No Providers
AK,Alaska,Copper River,02066,2617,2031.0,9.1088,29.1974,18.2176,39.1925,73.3136,9.2073,11.0783,7.9764,70.6056,83.0133,61.2999,8.4195,18.8085,56.9178,19.9902,11.8168,21.0241,36.7799,23.3875,66.2235,15.4111,34.6135,15.4111,36.6814,4.1851,14.8203,9.8966,5.613,14.0817,15.3,4.2836,8.6164,32.5948,31.7085,10.6844,14.8203,11.7184,8.4195,9.3058,24.6184,185.0,593.0,370.0,796.0,1489.0,187.0,225.0,162.0,1434.0,1686.0,1245.0,171.0,382.0,1156.0,406.0,240.0,427.0,747.0,475.0,1345.0,313.0,703.0,313.0,745.0,85.0,301.0,201.0,114.0,286.0,87.0,175.0,662.0,644.0,217.0,301.0,238.0,171.0,189.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Very Small,No Providers,No Providers,No Providers
AK,Alaska,Denali,02068,1619,1291.0,8.598,24.1673,19.5198,33.0751,69.0163,8.1332,10.0697,5.9644,68.0093,82.2618,61.8125,6.5066,16.4214,63.8265,20.6042,8.598,16.7312,34.3919,20.6816,71.1851,15.1046,31.2936,13.0906,31.6034,3.0984,10.3021,7.6685,4.0279,13.1681,11.4,3.1758,6.9713,27.8854,30.3641,7.5136,10.9992,9.6824,6.4291,6.8939,23.3153,111.0,312.0,252.0,427.0,891.0,105.0,130.0,77.0,878.0,1062.0,798.0,84.0,212.0,824.0,266.0,111.0,216.0,444.0,267.0,919.0,195.0,404.0,169.0,408.0,40.0,133.0,99.0,52.0,170.0,41.0,90.0,360.0,392.0,97.0,142.0,125.0,83.0,89.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Very Small,No Providers,No Providers,No Providers
AK,Alaska,Dillingham,02070,4857,3319.0,12.9256,23.9229,18.3489,33.5945,67.0383,5.8753,12.8352,7.1708,63.4528,74.4803,55.8301,8.4664,25.6403,49.6836,20.6086,12.5038,26.2127,32.088,28.6231,60.229,19.524,38.2947,17.3546,36.9991,4.2784,22.9286,10.003,8.376,18.9515,33.6,5.122,11.7505,37.0594,36.9991,20.3676,27.4179,20.7593,14.884,17.1437,31.5155,429.0,794.0,609.0,1115.0,2225.0,195.0,426.0,238.0,2106.0,2472.0,1853.0,281.0,851.0,1649.0,684.0,415.0,870.0,1065.0,950.0,1999.0,648.0,1271.0,576.0,1228.0,142.0,761.0,332.0,278.0,629.0,170.0,390.0,1230.0,1228.0,676.0,910.0,689.0,494.0,569.0,1046.0,10.0,0.0,0.0,0.0,16.0,16.0,0.0,74250,30.129557095510698,0.0,0.0,0.0,48.207291352817116,48.207291352817116,0.0,Very Small,No Providers,No Providers,No Providers
AK,Alaska,Fairbanks North Star,02090,95655,72748.0,9.6209,19.7421,18.34,29.8909,62.2986,6.3067,10.3178,4.6297,65.4685,77.8619,59.8876,4.9843,14.1447,61.3735,20.9669,7.8614,16.3056,31.7205,21.1745,63.8904,16.2891,35.2546,11.9811,37.5529,2.5073,10.6367,6.3534,3.9616,13.8725,228.4,2.8001,7.0297,28.2936,34.1865,8.348,11.8464,10.8058,6.9569,8.2573,25.9251,6999.0,14362.0,13342.0,21745.0,45321.0,4588.0,7506.0,3368.0,47627.0,56643.0,43567.0,3626.0,10290.0,44648.0,15253.0,5719.0,11862.0,23076.0,15404.0,46479.0,11850.0,25647.0,8716.0,27319.0,1824.0,7738.0,4622.0,2882.0,10092.0,2037.0,5114.0,20583.0,24870.0,6073.0,8618.0,7861.0,5061.0,6007.0,18860.0,159.0,4.0,2.0,20.0,238.0,238.0,7.0,84722,21.85627096277561,2.749216473305108,0.2749216473305108,0.5498432946610216,32.715676032330784,32.715676032330784,0.9622257656567879,Large,High,Very Low,Low
